update,overall_cos_sim,overall_policy_norm,overall_value_norm,stem_cos_sim,stem_policy_norm,stem_value_norm,blocks_0_3_cos_sim,blocks_0_3_policy_norm,blocks_0_3_value_norm,blocks_4_7_cos_sim,blocks_4_7_policy_norm,blocks_4_7_value_norm,blocks_8_11_cos_sim,blocks_8_11_policy_norm,blocks_8_11_value_norm,blocks_12_15_cos_sim,blocks_12_15_policy_norm,blocks_12_15_value_norm
64,0.043767400085926056,2.9391117095947266,2.6172797679901123,0.1530245542526245,1.060073733329773,0.8450887799263,0.03129278123378754,2.124105215072632,1.8382805585861206,0.04553705453872681,1.099913477897644,1.0347539186477661,0.013095689937472343,0.9602156281471252,0.9005283117294312,0.016324520111083984,0.933260440826416,0.9354340434074402
128,0.36081716418266296,5.929529666900635,13.083934783935547,0.5677173137664795,1.8979700803756714,5.744396686553955,0.3898344933986664,4.35633659362793,10.476180076599121,0.2830778658390045,2.195242166519165,4.039827823638916,0.16788077354431152,1.9237545728683472,2.61702036857605,0.14186826348304749,2.0148062705993652,2.296065330505371
192,-0.32475119829177856,8.354153633117676,2.138530731201172,-0.5277722477912903,2.7950525283813477,0.8844255805015564,-0.3047608733177185,6.658989906311035,1.7122433185577393,-0.30864059925079346,2.8919143676757812,0.6983697414398193,-0.24216784536838531,2.1202456951141357,0.4654693305492401,-0.18600474298000336,2.1860463619232178,0.3936311602592468
256,0.7956944108009338,28.612693786621094,4.651891231536865,0.827725887298584,14.715070724487305,2.1270365715026855,0.8150292038917542,23.09647560119629,3.7663490772247314,0.7521882653236389,6.624671936035156,1.4268163442611694,0.5219513773918152,3.7024314403533936,0.7352455854415894,0.28862178325653076,3.3333828449249268,0.5950055718421936
320,0.32028162479400635,4.718297004699707,5.219901084899902,0.36387601494789124,1.7348034381866455,2.37054705619812,0.33438271284103394,3.944655418395996,4.219137191772461,0.27633875608444214,1.3557002544403076,1.6400370597839355,0.18667589128017426,0.931009829044342,0.8270561099052429,0.10242711007595062,0.9938670992851257,0.6730643510818481
384,0.6704493165016174,6.299885272979736,8.342991828918457,0.7239171862602234,2.9774110317230225,3.7757740020751953,0.6873587369918823,5.129354000091553,6.782576560974121,0.5927832126617432,1.6551966667175293,2.529343366622925,0.37676745653152466,0.9473080635070801,1.3345180749893188,0.22647950053215027,0.9360755085945129,1.0803650617599487
448,0.772951602935791,11.867571830749512,3.459299325942993,0.9086123108863831,5.7385358810424805,1.707405924797058,0.785406231880188,9.592154502868652,2.607105016708374,0.6365812420845032,3.0869081020355225,1.0747307538986206,0.42814987897872925,1.7727608680725098,0.7419074773788452,0.385745108127594,1.7964842319488525,0.7409761548042297
512,0.16467894613742828,4.469460487365723,0.652787446975708,0.23130880296230316,1.8440306186676025,0.25795990228652954,0.1760348081588745,3.707676887512207,0.5332721471786499,0.09782804548740387,1.2534414529800415,0.19274777173995972,0.0026629497297108173,0.7939284443855286,0.14464598894119263,-0.015035218559205532,0.7920348644256592,0.13090012967586517
576,0.43469592928886414,2.310209274291992,1.2858141660690308,0.6560707092285156,1.118240237236023,0.4975084364414215,0.4056779742240906,1.8315247297286987,1.0368796586990356,0.3986703157424927,0.6366218328475952,0.4493236839771271,0.23096726834774017,0.4050406515598297,0.2731766402721405,0.17319704592227936,0.40345773100852966,0.23273809254169464
640,0.14927752315998077,1.2207798957824707,4.171145439147949,0.07169025391340256,0.38845911622047424,1.804160714149475,0.1762651801109314,0.9146175980567932,3.3071510791778564,0.19081437587738037,0.45736071467399597,1.4191443920135498,0.1470988243818283,0.3657867908477783,0.8292452692985535,0.02905403822660446,0.3998737335205078,0.7103457450866699
