update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
8,5.027477576863021,0.921875,0.9232685009487667,0.9208333333333334,54.572265625,4.424287196318434,0.6217744730383856,0.6206440358014695,472,6,558,3538,309,0,0,0.9932149921979029,0.9763671626475047,0.9999687746022204,0.7498093199570551,0,0.0,0,0.0,0.0,21.96943673491478,3.2564185857772827,18.712667167186737,0.0003999323155727715
16,4.655898826662451,0.962890625,0.956838429816371,0.9706737987987988,34.708984375,3.855294989460755,0.09428434882283909,0.09272611695246052,493,1,678,3418,58,0,0,0.9848386597543479,0.9619451164216566,0.9997997639332433,0.748896697617384,0,0.0,0,0.0,0.0,15.245222747325897,1.9971371591091156,13.24758630990982,0.0003998646425984973
24,4.309652571566403,0.966796875,0.9678309630835207,0.9644675198954484,26.958984375,3.577276186821683,0.08096519172977423,0.07706876637120408,495,0,722,3178,45,0,0,0.9729116993447482,0.964259517757094,0.9994120621055586,0.7490268168585839,0,0.0,0,0.0,0.0,12.600396484136581,1.60586416721344,10.9941965341568,0.00039979698107523923
32,2.3348094148095697,0.966796875,0.9850472403117327,0.9491991158066209,10.8515625,2.164953242791408,0.15358307095448254,0.15114735065711365,495,0,353,112,11,0,0,0.9210739244121301,0.943657125164469,0.9947330997957813,0.7475814684006652,0,0.0,0,0.0,0.0,4.156785249710083,0.6451476812362671,3.511352390050888,0.0003997293310010598
40,1.9893368817865849,0.939453125,0.9623418134006589,0.9159319653144093,10.498046875,2.1039972256229533,0.1333700951654464,0.13270457200835473,481,0,290,75,12,0,0,0.8710748755094394,0.9239485852953064,0.9848659090066122,0.7464523727440538,0,0.0,0,0.0,0.0,3.960700184106827,0.6195422112941742,3.3408477902412415,0.0003996616923740217
48,1.584981169551611,0.943359375,0.9754505621693121,0.9097577168024111,9.349609375,1.4729992142128339,0.12582622189074755,0.1263374567310525,483,0,341,12,18,0,0,0.819067165467881,0.9208223742745536,0.9694304860422146,0.7452238417289418,0,0.0,0,0.0,0.0,3.521887421607971,0.5212449431419373,3.000362753868103,0.000399594065192188
56,1.5282713044434786,0.90234375,0.9476813687410224,0.8592958880787829,9.087890625,1.589186291190213,0.1075970632955432,0.10657761443279659,462,0,362,23,17,0,0,0.7710479408992761,0.9182426181939696,0.949972528683285,0.7449075390062929,0,0.0,0,0.0,0.0,3.4196422696113586,0.4861527383327484,2.9331696927547455,0.00039952644945362187
64,1.412999413907528,0.853515625,0.9319539950291849,0.7734038266207384,9.15625,1.6356408423071458,0.1057098499732092,0.10833950815456803,437,0,351,25,26,0,0,0.7267731682460771,0.9077114879145979,0.9283010074523119,0.7445632349159789,0,0.0,0,0.0,0.0,3.704889416694641,0.5154479146003723,3.189089149236679,0.0003994588451563871
72,1.3490157462656498,0.830078125,0.9183709956325088,0.7374225195328505,8.931640625,1.5849704075548963,0.11462706804741174,0.11206402224089344,425,0,348,16,25,0,0,0.683913124253526,0.9056934194302202,0.9033720913811556,0.7432242440180336,0,0.0,0,0.0,0.0,3.34142342209816,0.4813244640827179,2.8597643077373505,0.00039939125229854775
80,1.2578610004857183,0.837890625,0.9419271326031762,0.7262017657048083,8.880859375,1.4700434728460607,0.10916214704047889,0.10760050138091884,429,0,361,4,17,0,0,0.6427081444349465,0.903737999536651,0.8759332088582275,0.7429403442156592,0,0.0,0,0.0,0.0,3.3004606664180756,0.4639398455619812,2.8361122012138367,0.000399323670878168
88,1.0803606221452355,0.779296875,0.9057199248850103,0.6670325883885757,8.66796875,1.3463576926019207,0.09169391624163836,0.08916101744683563,399,0,343,2,32,0,0,0.6037776113452302,0.9095924098376469,0.8467526215851437,0.7437729328769949,0,0.0,0,0.0,0.0,3.220700293779373,0.4625219404697418,2.7578685879707336,0.00039925610089331254
