update,overall_cos_sim,overall_policy_norm,overall_value_norm,stem_cos_sim,stem_policy_norm,stem_value_norm,blocks_0_3_cos_sim,blocks_0_3_policy_norm,blocks_0_3_value_norm,blocks_4_7_cos_sim,blocks_4_7_policy_norm,blocks_4_7_value_norm,blocks_8_11_cos_sim,blocks_8_11_policy_norm,blocks_8_11_value_norm,blocks_12_15_cos_sim,blocks_12_15_policy_norm,blocks_12_15_value_norm
64,0.16951632499694824,0.6538023352622986,2.851111888885498,0.37958890199661255,0.18282778561115265,1.3071528673171997,0.18222308158874512,0.48849400877952576,2.235363721847534,0.061236672103405,0.2647603452205658,0.8179823160171509,0.027714191004633904,0.21233254671096802,0.6310884356498718,0.07786624133586884,0.20055419206619263,0.59663325548172
128,0.18618157505989075,1.2565231323242188,0.07664698362350464,0.47405868768692017,0.35525214672088623,0.03366776555776596,0.15408556163311005,1.0963228940963745,0.05645541101694107,0.15207557380199432,0.3569709062576294,0.027992673218250275,0.11505788564682007,0.2649560868740082,0.021753082051873207,0.1362488865852356,0.23041799664497375,0.017240704968571663
192,0.08484664559364319,0.9505784511566162,0.06246552616357803,0.05937141180038452,0.5931002497673035,0.03143491968512535,0.11581213027238846,0.723820686340332,0.04705895110964775,-0.013353973627090454,0.11895694583654404,0.019186783581972122,0.002368494402617216,0.08600162714719772,0.014872952364385128,0.01644897647202015,0.07980023324489594,0.010483596473932266
256,-0.09894459694623947,1.2810620069503784,0.05132259801030159,-0.2193373441696167,0.7345085144042969,0.01745499297976494,-0.09615324437618256,1.022896647453308,0.03902289271354675,0.02631470561027527,0.18137334287166595,0.02064819633960724,0.016016885638237,0.1119537428021431,0.016694162040948868,0.016326675191521645,0.09934527426958084,0.01007487066090107
320,-0.016856569796800613,1.8709220886230469,0.3447025418281555,-0.017536599189043045,1.1008356809616089,0.16230157017707825,-0.0014065224677324295,1.4147204160690308,0.26130205392837524,-0.11241243779659271,0.4119565188884735,0.10749257355928421,-0.0808749794960022,0.2687959671020508,0.08678685128688812,-0.02326265349984169,0.2124066799879074,0.07150303572416306
384,-0.6992019414901733,1.1029163599014282,0.48709583282470703,-0.7423000931739807,0.7170881628990173,0.2953655421733856,-0.7039932012557983,0.8050220608711243,0.3635406494140625,-0.48327672481536865,0.18259304761886597,0.10790938138961792,-0.2851208448410034,0.119509756565094,0.06533379852771759,-0.17677459120750427,0.08078189939260483,0.044122543185949326
448,-0.08653637766838074,0.3466056287288666,0.10113955289125443,0.058860376477241516,0.1797296702861786,0.06465604901313782,-0.16234725713729858,0.2754625380039215,0.07276584208011627,-0.193139910697937,0.08237094432115555,0.022138062864542007,-0.11019912362098694,0.057479359209537506,0.01339368149638176,-0.06655089557170868,0.043177053332328796,0.009189714677631855
