update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_orig_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
8,3.367173410835676,0.869140625,0.8528245192307693,0.8884871571889494,62.12109375,4.492072482766462,0.11087484532436065,0.10998044273143773,445,2,447,3649,468,0,0,0.9944026609942493,0.9914769628105554,0.9999791432418312,0.7499446570216308,0,0.0,0,0.0,0.0,0.0,28.38409733772278,6.50603860616684,21.877660036087036,0.00012205710845591966
16,3.8960253198165447,0.96875,0.9711662214035488,0.9653785935887801,36.740234375,4.072614233492624,0.06551933989794634,0.06440494680745859,496,1,723,3373,44,0,0,0.9856336625695293,0.9904571309735081,0.999832571154355,0.7499306204166614,0,0.0,0,0.0,0.0,0.0,17.846984207630157,3.7537273168563843,14.09274634718895,0.00012205709572299384
24,3.3012597176712006,0.978515625,0.9779989919354839,0.9792850378787878,22.439453125,3.4887929031591907,0.09978597905137576,0.09668032227558697,501,1,555,2120,29,0,0,0.9624547615767403,0.9522431995922126,0.9990314391594008,0.7487844204107068,0,0.0,0,0.0,0.0,0.0,11.100868999958038,2.3903121650218964,8.710013896226883,0.00012205707025714219
32,2.109737099468475,0.966796875,0.9806573056573057,0.951520051735569,10.71875,2.063781474025638,0.17238078342052177,0.16985816440070686,495,0,333,91,5,0,0,0.9098802998759986,0.924380720009,0.9930026683973097,0.7464971623991663,0,0.0,0,0.0,0.0,0.0,4.44469541311264,1.1108595728874207,3.3333095610141754,0.00012205705752421636
40,1.7656131389958318,0.9453125,0.9720512415824916,0.9163212535692374,9.7890625,1.770884943068742,0.1624208862776868,0.16117434703051314,484,0,335,83,7,0,0,0.8599840310751393,0.9139551194214556,0.9822115032701414,0.7443594190917131,0,0.0,0,0.0,0.0,0.0,4.053913563489914,0.9709742963314056,3.0824244022369385,0.00012205703205836471
48,1.478642798261717,0.8984375,0.9454895591060775,0.8550902054934313,9.5390625,1.7178837149695156,0.14230599335132865,0.14192076045888355,460,0,343,61,18,0,0,0.8122836237791645,0.9114366856053413,0.9670208381663284,0.7440244004868314,0,0.0,0,0.0,0.0,0.0,3.9082814157009125,0.9226320683956146,2.9851595759391785,0.00012205701932543889
56,1.1942799743264914,0.890625,0.9492652424954655,0.8280977143109496,9.060546875,1.4483686132593994,0.13421718822792172,0.1336343622631264,456,0,360,26,19,0,0,0.7653135193734939,0.9093108258965159,0.9476501036130869,0.7437340827596788,0,0.0,0,0.0,0.0,0.0,3.6611231863498688,0.8171629011631012,2.843453824520111,0.00012205699385958724
