update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_orig_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
8,3.5295360734580754,0.880859375,0.870971315941949,0.8867405239687849,68.095703125,4.598900286910376,0.08700839481298317,0.08636903063094885,451,2,379,3717,400,0,0,0.9903407510038313,0.9997427434876547,0.9999461117758126,0.7499999487760732,0,0.0,0,0.0,0.0,0.0,26.007842451334,3.4623114466667175,22.545063018798828,0.00012205710845591966
16,3.570226342373644,0.955078125,0.943437404142472,0.9599178444006031,28.662109375,3.857205874701227,0.07582054050726583,0.07402770366187046,489,0,741,3085,31,0,0,0.9664075608255999,0.9536268030358671,0.9991835017313717,0.7492682218780482,0,0.0,0,0.0,0.0,0.0,12.879456967115402,1.6064383685588837,11.272590219974518,0.00012205709572299384
24,2.6906460220343433,0.97265625,0.9879464285714286,0.9564166439166439,13.51953125,2.7523089675947725,0.14821253831905778,0.1446721580698426,498,0,290,396,10,0,0,0.8890196189662579,0.9297412339072764,0.9901537125533767,0.746179315741511,0,0.0,0,0.0,0.0,0.0,5.011847943067551,0.7478374540805817,4.2634842693805695,0.00012205707025714219
32,2.0672212378121912,0.943359375,0.942954031109273,0.938704906443877,11.8515625,2.2712319008328756,0.14796808097162284,0.1456294044880655,483,0,180,175,14,0,0,0.809480567859975,0.9070521551450771,0.96744795352071,0.7453724005498613,0,0.0,0,0.0,0.0,0.0,4.144539266824722,0.6662013530731201,3.4776912927627563,0.00012205705752421636
40,1.497287306934595,0.9453125,0.969689409195887,0.9242186403951109,9.80859375,1.4865831522882145,0.16121364058926702,0.1607335843115451,484,0,226,52,14,0,0,0.7234051591658395,0.8893966719547354,0.9282653192889017,0.7405316020537559,0,0.0,0,0.0,0.0,0.0,3.3564843833446503,0.45710888504981995,2.899099975824356,0.00012205703205836471
48,1.3425109894014895,0.908203125,0.9632199754901961,0.8433495215062152,9.873046875,1.6337579139184775,0.1404653214121936,0.14029853781839974,465,0,145,67,29,0,0,0.6484025189399102,0.9024891821930181,0.8830100213885089,0.7426405440517523,0,0.0,0,0.0,0.0,0.0,3.3827775418758392,0.5361223220825195,2.8463535606861115,0.00012205701932543889
56,1.1224169339984655,0.919921875,0.9725601748856755,0.8771888365890381,9.294921875,1.270591399782266,0.1379765362944454,0.1379668676457196,471,1,230,9,26,0,0,0.5732711233769995,0.9116249099127754,0.8255857385624125,0.743954950638643,0,0.0,0,0.0,0.0,0.0,3.1988704204559326,0.4570898711681366,2.741498351097107,0.00012205699385958724
64,0.8682888806797564,0.875,0.9617765802745641,0.7872293709150326,8.923828125,1.1540583228208279,0.12493562162853777,0.12419499049380914,448,0,318,16,38,0,0,0.5076600354442938,0.9071822217688079,0.7652059272573959,0.7433318946978735,0,0.0,0,0.0,0.0,0.0,3.731647163629532,0.4385562539100647,3.292763501405716,0.00012205698112666141
72,0.8479967461898923,0.845703125,0.9379796462833989,0.7564613626326072,8.908203125,1.244491034251838,0.11941941268742085,0.11861576996125153,433,0,288,12,40,0,0,0.4495998206259896,0.9181693930706445,0.7048645802026776,0.744817113992474,0,0.0,0,0.0,0.0,0.0,3.1274010241031647,0.46281126141548157,2.6642909348011017,0.00012205695566080976
80,0.8567897751927376,0.814453125,0.9554229624542125,0.6827673966970333,8.775390625,1.3130570108589188,0.13159985397942364,0.1305698199791986,417,0,344,15,39,0,0,0.3988792137872706,0.9278559737365448,0.6458552690642847,0.7459715232213802,0,0.0,0,0.0,0.0,0.0,3.1493159234523773,0.44694992899894714,2.7020576894283295,0.00012205693656142103
88,0.7399356937967241,0.77734375,0.9437908277878037,0.6151425174464754,8.73046875,1.3661440177680495,0.1162042215000838,0.11578774264155607,398,0,308,8,43,0,0,0.35282072067593906,0.9363959193166514,0.5879846728536029,0.7468688053080245,0,0.0,0,0.0,0.0,0.0,3.053185999393463,0.4190482795238495,2.633852005004883,0.00012205691746203229
