update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
8,4.61471076127782,0.875,0.8632861910850795,0.8836344500407001,64.525390625,4.597377483577359,0.18659557592309284,0.18484413405199926,448,1,350,3746,486,0,0,0.9948259876367482,0.9923969188787837,0.9999794339430271,0.7499559594220919,0,0.0,0,0.0,0.0,27.073506474494934,3.9910259544849396,23.08213609457016,0.0003999323155727715
16,4.550614466890693,0.970703125,0.9699074074074074,0.965587001448068,33.509765625,3.747870273857568,0.06657927167543676,0.06417212223196085,497,1,701,3395,47,0,0,0.9859649679448166,0.9842186670059585,0.9998325931941359,0.749951620295515,0,0.0,0,0.0,0.0,15.865161806344986,1.9926897287368774,13.87219351530075,0.0003998646425984973
24,3.188276869186666,0.978515625,0.982667824074074,0.9762525683578316,17.263671875,2.6964940714816876,0.1378475174496998,0.13324055115595498,501,0,572,1436,17,0,0,0.9524565169978049,0.9396268557742159,0.9982069772247031,0.7472230929078632,0,0.0,0,0.0,0.0,8.231224864721298,1.074273407459259,7.15657851099968,0.00039979698107523923
32,2.2667723512277007,0.978515625,0.9825289575289575,0.9749918187418187,10.669921875,2.1130704972044945,0.1868334652390331,0.18298830370800487,501,0,393,85,2,0,0,0.8998650228942903,0.8899931931432625,0.991341804368649,0.7420434065945143,0,0.0,0,0.0,0.0,4.326693415641785,0.607153594493866,3.7192127108573914,0.0003997293310010598
40,1.8103661313652992,0.9375,0.9571938372648312,0.9177141501761995,9.763671875,1.8455157963278648,0.17831268743611872,0.17591059959856803,480,0,316,61,12,0,0,0.8501679719856517,0.8891123221225938,0.9793121952275692,0.7406321411453424,0,0.0,0,0.0,0.0,3.942885637283325,0.5580800175666809,3.384451240301132,0.0003996616923740217
48,1.48231964930892,0.919921875,0.9492699766693575,0.8862838697323092,9.369140625,1.5513978239678807,0.15813506650738418,0.15671775853947512,471,0,277,21,15,0,0,0.8006153606991243,0.8804138575969086,0.9627198891083979,0.7391047932947346,0,0.0,0,0.0,0.0,3.6889143884181976,0.517198771238327,3.1714207231998444,0.000399594065192188
56,1.3872653041034937,0.875,0.9275941605622353,0.8207872140539236,9.298828125,1.5886234068942393,0.13121771556325257,0.1297933961816052,448,0,382,14,13,0,0,0.7529903570001543,0.8802916448371246,0.9416801616171636,0.7390825128926279,0,0.0,0,0.0,0.0,3.7158395648002625,0.5022522807121277,3.2132607996463776,0.00039952644945362187
64,1.291224641725421,0.875,0.950908772599949,0.7910906298003072,9.072265625,1.4671855943991323,0.12271219294052571,0.12072349127927917,448,0,398,10,19,0,0,0.7079920736601735,0.8875720028621757,0.9179560301856926,0.7403700793482104,0,0.0,0,0.0,0.0,3.9367391169071198,0.4833917021751404,3.4530481100082397,0.0003994588451563871
72,1.270896959118545,0.876953125,0.9548409471411912,0.7901357341881535,8.931640625,1.2634918761474023,0.1130285772960633,0.11202706922333308,449,0,380,1,14,0,0,0.6650570467957726,0.8867787666914849,0.8912937665913276,0.7402337120843002,0,0.0,0,0.0,0.0,3.575854241847992,0.4728294312953949,3.1027087569236755,0.00039939125229854775
80,1.154279020614922,0.822265625,0.9253249227273701,0.7148461598708309,9.005859375,1.5416750264168366,0.1024528353009373,0.09983847853940464,421,0,359,4,12,0,0,0.6251509548013661,0.878342866604709,0.8630443736783431,0.7387241596375453,0,0.0,0,0.0,0.0,3.548663765192032,0.4807989299297333,3.0675595104694366,0.000399323670878168
