update,overall_cos_sim,overall_policy_norm,overall_value_norm,stem_cos_sim,stem_policy_norm,stem_value_norm,blocks_0_3_cos_sim,blocks_0_3_policy_norm,blocks_0_3_value_norm,blocks_4_7_cos_sim,blocks_4_7_policy_norm,blocks_4_7_value_norm,blocks_8_11_cos_sim,blocks_8_11_policy_norm,blocks_8_11_value_norm,blocks_12_15_cos_sim,blocks_12_15_policy_norm,blocks_12_15_value_norm
64,-0.14584046602249146,0.6680400371551514,0.22165609896183014,-0.34015414118766785,0.16897211968898773,0.0931585431098938,-0.13933065533638,0.5412312150001526,0.16583766043186188,-0.08681148290634155,0.24343207478523254,0.07356572151184082,-0.11217619478702545,0.1811612844467163,0.058217961341142654,-0.08559724688529968,0.18087606132030487,0.06441686302423477
128,0.15061001479625702,0.3378685414791107,1.5393110513687134,0.21436463296413422,0.10491705685853958,0.9536934494972229,0.143194317817688,0.28222769498825073,1.1538194417953491,0.21030426025390625,0.10630089789628983,0.28361111879348755,0.1953796148300171,0.07921808212995529,0.16018719971179962,0.12389712780714035,0.07693962007761002,0.15017586946487427
192,0.24414393305778503,2.8457319736480713,0.01333473902195692,0.4068005681037903,1.7456691265106201,0.004200439900159836,0.29507172107696533,2.1534948348999023,0.009253413416445255,0.10571654886007309,0.4813659191131592,0.0049263788387179375,0.05301499366760254,0.31254684925079346,0.004547950346022844,0.048015907406806946,0.2896406054496765,0.005439929664134979
256,0.4941495656967163,2.805110454559326,0.25855380296707153,0.5163719654083252,1.847212791442871,0.14285778999328613,0.4965113401412964,2.028740167617798,0.19849039614200592,0.5188996195793152,0.46260932087898254,0.0656806007027626,0.40751421451568604,0.2602579593658447,0.039551928639411926,0.26902681589126587,0.24273812770843506,0.03413182124495506
320,0.18257956206798553,0.35844293236732483,0.15087957680225372,0.5333572626113892,0.1756771355867386,0.07409589737653732,0.12452024221420288,0.2768920361995697,0.12042266875505447,-0.11424575746059418,0.10123471915721893,0.040703240782022476,-0.17736878991127014,0.0747084766626358,0.024365868419408798,-0.2610110640525818,0.07155314087867737,0.022855514660477638
384,0.3519012928009033,0.6176115274429321,0.5675206184387207,0.6000077128410339,0.3217340409755707,0.40985456109046936,0.23975947499275208,0.497062623500824,0.36979174613952637,0.0484049916267395,0.1371380239725113,0.10144105553627014,-0.006546362768858671,0.08578737825155258,0.06220972165465355,-0.12505340576171875,0.06850992888212204,0.056503478437662125
448,-0.5813403129577637,4.902493953704834,1.5812143087387085,-0.6901427507400513,3.2862303256988525,1.1129004955291748,-0.5239872932434082,3.5509400367736816,1.0232740640640259,-0.24395741522312164,0.6711646318435669,0.3674775958061218,-0.19011348485946655,0.3287228047847748,0.21883022785186768,-0.10100463032722473,0.259696900844574,0.17797479033470154
512,0.46307113766670227,1.0499693155288696,0.11076314747333527,0.5901474952697754,0.74936842918396,0.06712182611227036,0.4179438650608063,0.6964094638824463,0.0753510370850563,0.30337172746658325,0.18732498586177826,0.03417116776108742,0.15657496452331543,0.11167216300964355,0.022811539471149445,-0.05608842521905899,0.09129610657691956,0.0199329424649477
576,0.29579806327819824,0.5313111543655396,0.5040444135665894,0.30051785707473755,0.32445263862609863,0.31902992725372314,0.3227505087852478,0.40404537320137024,0.34219300746917725,0.21397340297698975,0.09686879068613052,0.14204032719135284,0.08659292757511139,0.05226034298539162,0.09144651889801025,0.038439132273197174,0.040677815675735474,0.08152707666158676
640,-0.00262470543384552,0.2861003577709198,0.10720545053482056,0.23447884619235992,0.16231203079223633,0.07275917381048203,-0.16660873591899872,0.2194577008485794,0.0723455473780632,-0.09279737621545792,0.06669644266366959,0.025866879150271416,-0.05672379210591316,0.042756762355566025,0.013763116672635078,-0.03236931562423706,0.03271060436964035,0.01033029519021511
704,-0.342018723487854,0.3751988112926483,0.14287354052066803,-0.5623666644096375,0.22284039855003357,0.09225104749202728,-0.20616114139556885,0.28166452050209045,0.10156077891588211,-0.2285386174917221,0.0869845300912857,0.03407709300518036,-0.16576111316680908,0.05137575417757034,0.016976965591311455,-0.11571706831455231,0.039694223552942276,0.01177011989057064
768,-0.11684940755367279,1.0270569324493408,0.06842422485351562,-0.1355229616165161,0.7419576048851013,0.0420878604054451,-0.10310588777065277,0.6812441945075989,0.051386743783950806,-0.11611908674240112,0.16238093376159668,0.013967880047857761,-0.09021944552659988,0.09371092915534973,0.007161044981330633,-0.1336754411458969,0.07142776250839233,0.00484844297170639
832,0.055858463048934937,0.3120305836200714,0.20078963041305542,-0.017364397644996643,0.2006601095199585,0.11749918758869171,0.10128803551197052,0.22270099818706512,0.14718984067440033,0.13388067483901978,0.06825116276741028,0.05655983090400696,0.09257835149765015,0.04250121861696243,0.03286163508892059,-0.07455921173095703,0.03222237527370453,0.02380475029349327
896,0.27379825711250305,0.3905632495880127,0.12798474729061127,0.31121885776519775,0.28859463334083557,0.08684445172548294,0.2359168827533722,0.24825239181518555,0.0894823968410492,0.3188585340976715,0.06941092759370804,0.023771576583385468,0.1995595395565033,0.04240639507770538,0.013049984350800514,0.028425639495253563,0.03173914551734924,0.009780030697584152
960,0.6066700220108032,0.5060797929763794,0.1485310196876526,0.6866229772567749,0.30871790647506714,0.10225381702184677,0.573872983455658,0.3809097409248352,0.10168451815843582,0.45455968379974365,0.10466942191123962,0.029669005423784256,0.2713772654533386,0.057631734758615494,0.016066549345850945,0.08627913892269135,0.03795598819851875,0.011291468515992165
